MgMn6O12 mp-1003771
CeSe2 mp-1080362
Li2SnSe3 mp-1095291
Ag2SnSe3 mp-1096812
TiNF mp-1101037
NbV3O8 mp-1101449
Dy2SnS3 mp-1120784
Cu2SnSe3 mp-11658
LiMn3O6 mp-1176672
Li7V3P8O29 mp-1176849
Li7V3P8O29 mp-1176857
Li2Fe3WO8 mp-1177969
Sr(H8O5)2 mp-1179312
Si2H2O3 mp-1179424
U2(P2O7)3 mp-1179675
Na2CaZr2Si10O27 mp-1180806
H13Se2N3O8 mp-1181831
BaN6O mp-1182281
BAsH4NO4F mp-1191775
Cu2SnSe3 mp-1191849
SbIrXeF12 mp-1192457
Al2Si2O9 mp-1192644
Fe(MoS2)2 mp-1193219
NaCaBe2B2O6F mp-1193627
Te2P2O9 mp-1193939
LaB4ClO8 mp-1194424
Ba4Zn4B14Pb2O31 mp-1194748
YAg(IO3)4 mp-1195810
Na4Be2Si6SnO20 mp-1196126
Na2ZnB6O11 mp-1196425
LaPb8N7O33 mp-1196738
BaMgBO3F mp-1198065
Pr2S3O20 mp-1198267
LaH16N7O19 mp-1199223
Li2B6O9F2 mp-1200209
Na2Nb4O11 mp-1202153
Na4UC3O11 mp-1202805
Nb4Ag2O11 mp-1202965
Sn3S7 mp-1203031
H13RuC6SN4O8F9 mp-1203926
CaAl2Si3H6O13 mp-1203998
LiB(H4N)2 mp-1204824
RbSb2PO8 mp-1209255
Rb3Ta2AsS11 mp-1209358
Na3PrV2O8 mp-1210734
Na8Te4W7O36 mp-1212664
CuAgGeSe3 mp-1213114
CaAl2Si3W3O10 mp-1214322
Ba2MoO3F4 mp-1214599
Rb2U3P4H4O19 mp-1220504
Nd2Si2PbS8 mp-1220623
Na6B18Se17 mp-1220895
Na4Sr2SiAs4 mp-1221154
Na4Sr2TiAs4 mp-1221156
Na4Ca2SiAs4 mp-1221206
Na4Ca2SiP4 mp-1221207
Na2CaPb3(CO3)5 mp-1221844
Mn4Nb2O9 mp-1222064
LiZnBO3 mp-1222376
LiAg2(NO2)3 mp-1222677
KBaB(PO4)2 mp-1223526
K4Ba2SnSb4 mp-1224100
KAsSe3O mp-1224684
LiGaO10 mp-1226095
BiP3(PbO4)3 mp-1227709
Al2S3 mp-1228491
BaMn2Fe4O11 mp-1228499
Ba6La2Ga4O15 mp-1228569
Ba6Pr2Fe4O15 mp-1228608
Ba6La2Co4O15 mp-1228747
BaFe5Bi4O15 mp-1228771
Ba2Ti5(Bi2O9)2 mp-1229191
Li4V2Si(PO6)2 mp-1255288
Al2NiO4 mp-1280463
Li2V3CoO8 mp-1301441
P3RhO9 mp-14935
Na6NiO4 mp-1569694
LiFe(PO3)3 mp-1661928
K2Si6GeO15 mp-18460
Ba2WO3F4 mp-19234
CaAsH5O6 mp-24120
CaAl4Si2(HO6)2 mp-24469
Li3Mo2(PO4)3 mp-26439
LiNb2(PO4)3 mp-26533
Li2Mo(PO4)2 mp-26863
Na4SnO3 mp-28261
Ca2Si5N8 mp-28922
TeSeO4 mp-29299
K2Si2O5 mp-29825
LiV(PO3)4 mp-32523
Ga2S3 mp-32616
LiNi2P4H3O14 mp-40575
LiNiPO4 mp-504246
Mn(PO3)3 mp-504351
Na26In4O19 mp-532091
LiMnP2O7 mp-540193
Al(PO3)3 mp-540549
K2Ni(NO3)4 mp-556059
Sc(PO3)3 mp-556281
In2Si(AgS3)2 mp-558407
Rb3Zr2P5S18 mp-561527
BaUI6 mp-574430
In2Te5 mp-582549
U2(P2O7)3 mp-622122
H7BrO3 mp-625555
Sr(H8O5)2 mp-625824
Sr(H2O3)2 mp-625836
Ta2H4O7 mp-625957
Si2H2O5 mp-626083
SrTeO3 mp-647158
Na12B26O45 mp-657344
In2S3 mp-673633
LiPrS2 mp-675419
TlSnF3 mp-676130
Ca2SiO4 mp-676278
TiNbTl(O2F)2 mp-677378
K2SO3 mp-677413
Ba3Si3N5ClO mp-677613
Os3C10(BrO5)2 mp-680415
Tl2Te3 mp-680731
Cs3Nb2AsSe11 mp-683903
H2O mp-684704
Ta2Mn4O9 mp-690508
K2HS2NO6 mp-695383
H4CN5Cl mp-696231
NaH3SO5 mp-696347
LiMn2(PO4)3 mp-697792
LiNiPO4 mp-705448
ZnP2H11C2NO8 mp-707953
K3ErH9(C3O7)2 mp-709058
Al2Si2H4O9 mp-721216
TiH10N3F5 mp-743715
Ca8V7ZnBiO28 mp-743771
CrH6SO7 mp-745180
Li4FeO3 mp-752680
Li2Mn2OF6 mp-753742
Li6CrO6 mp-753796
BCl(OF2)2 mp-754459
NaCuP2O7 mp-754637
CaAsH5O6 mp-754855
NaCuP2O7 mp-755492
LiCo(SiO3)2 mp-755994
Li2Mn3NbO8 mp-756486
Rb4SnO3 mp-756570
Li2V2O5F2 mp-757124
Li7V3P8O29 mp-757380
LiFe(PO3)3 mp-758555
LiCoH8(CO5)2 mp-759255
Li3V3P8O29 mp-760101
PNO mp-760506
LiMn2OF5 mp-761120
Li2Mn4OF8 mp-761138
NbCo3O8 mp-761589
Li3Fe3OF7 mp-764593
Li2Co4OF8 mp-765686
LiMn2O3F mp-767636
LiV2F9 mp-767723
Ce(ClO4)4 mp-768918
Li4V2Si(PO6)2 mp-770190
K2Ge2O5 mp-771185
Mn(PO3)3 mp-771905
Li5FeOF5 mp-777279
Li2Cr(PO3)4 mp-777383
Li3Bi3P8O29 mp-779602
Li2Mn2P2(H4O5)3 mp-849364
Li2Fe4OF8 mp-849678
Li2Fe4OF8 mp-849951
Li3VO3F2 mp-850210
Li3V3P8O29 mp-863394
K3P2AuSe8 mp-866660
Li2VO2F mp-867588
Li2Ni(PO3)4 mp-867616
LiV2OF5 mp-867637
Sr2AlGaCu2O7 mvc-10745
ZnCoF5 mvc-14327
Nb2Zn2CrO8 mvc-424
Ca2YBiO5 mvc-5445
Sr2YGaFe2O7 mvc-774
CrN2 mp-1015026
Rb4Ge3B6O17 mp-1020896
CeSe2 mp-1080257
CrN2 mp-1097042
NbTlO3 mp-1101462
LiV2(PO4)3 mp-1101492
K2Se4O mp-1103867
Dy2Te3Se mp-1120810
Li3V3P8O29 mp-1177508
Li3V3P8O29 mp-1177582
FeO mp-1178239
V2CdO10 mp-1179083
Sr(H8O5)2 mp-1179353
Si2H2O3 mp-1179481
BaYbCo4O7 mp-1182402
AgSbS2 mp-1182950
PtCl4O5 mp-1188903
Na2In2SiS6 mp-1190138
Li2In2SiS6 mp-1191903
Na4LuC3O9F mp-1194756
HgTe5H36C12N3(OF5)5 mp-1194814
Sm3Ge13Pt4 mp-1195135
AgBi(IO3)4 mp-1195262
V2H6C8N2O13 mp-1197334
K2Mo6H2Cl14O mp-1198246
Mg2Cd(ClO2)6 mp-1198304
Mo6H10N2Cl14O mp-1199422
Ca(ReO5)2 mp-1199701
Cu2SnSe3 mp-1200177
Na2TeW2O9 mp-1201078
K2GeB4O11 mp-1201387
Na10US6O29 mp-1201524
Ba3NaCaY(C2O7)3 mp-1202406
Mg2B4H22C2S mp-1202789
PrH20S4N5O16 mp-1205148
AgSbS2 mp-1205392
ZnCd3GeS6 mp-1215786
TlV3Cd4O12 mp-1216804
Ti2Tl3P5S18 mp-1217446
SrNd10Se12(Cl2O9)4 mp-1218343
RbV3Cd4O12 mp-1219122
PNO mp-1220011
Nd2Si2PbSe8 mp-1220616
Na5SrTaP4 mp-1220774
Na5SrNbP4 mp-1220783
Na5SrNbAs4 mp-1220796
Rb2Mo6H2Cl14O mp-1220928
NaSb(OF2)2 mp-1220957
Na5H7(Se2O9)2 mp-1220981
NaLiAl4(SiO6)2 mp-1221039
Na4Sr2SiP4 mp-1221153
Na4Sr2TiP4 mp-1221155
Na4Al2GaSi3BrO12 mp-1221240
Na4Eu2GeP4 mp-1221300
LiGa(GeSe3)2 mp-1222398
LiGaBH3O5 mp-1222409
LiW3O9F mp-1222570
K4Sr2SnAs4 mp-1223933
