Li2Ge4O9 mp-1020012
MgSiO3 mp-1020118
MgSiO3 mp-1020125
CeSe2 mp-1080297
CeSe2 mp-1080366
RbReN2 mp-1080850
ZrSn mp-1094291
MgTi mp-1094364
GePtS mp-1101755
SiPtSe mp-1103261
TbAl mp-11225
LiSbS mp-1176579
LiSiBiO4 mp-1176587
CoPO4 mp-1178446
Zr(NF3)2 mp-1178636
Sn3SO7 mp-1179439
ReCSN2Cl3O2 mp-1179444
Na2Zr(SiO3)6 mp-1180470
OsC8I4N3OF mp-1180681
CaZn2(PO5)2 mp-1182704
Ag3S(NO)3 mp-1182998
LiH2N mp-1188218
HNF2 mp-1189443
CsNaC2 mp-1189817
KSNO3 mp-1190914
RbTlF4 mp-1191979
LiH4SNO4 mp-1194832
Ba3P3ClO10 mp-1194911
Ba2In2Si3SO10 mp-1194952
NbIn(TeO4)2 mp-1195222
VPbOF5 mp-1195912
LaV2IO9 mp-1196184
H6C(SN)2 mp-1197136
Na5B(SO4)4 mp-1197581
CaMgB2O5 mp-1197708
LaAgAs2 mp-1198391
H7N2F mp-1198625
C2SNOF mp-1198997
MgB6H28(C2O)2 mp-1200370
P2O3F4 mp-1200699
AlH6C2SeCl3 mp-1200831
PrFeSb3 mp-1200999
K2FeP4O15 mp-1201434
Cs4TeSe15 mp-1202488
B2PH20C5N mp-1203791
USNO6F mp-1204027
Cs2Th(Si2O5)3 mp-1204133
K4XeO15 mp-1204302
ReCSN2Cl3O2 mp-1204366
Cs2V2H2O7 mp-1204913
AlTeH6C2Br3 mp-1205099
AgH8C3S2ClO4 mp-1205234
MoSF4 mp-1205247
ZnH6 mp-1207466
Zn3B7IO13 mp-1207531
PrCrSb3 mp-1209589
PrSCl mp-1210046
Ni(O2F)2 mp-1210254
Na3Pr(AsO4)2 mp-1210670
Na3Y(PO4)2 mp-1210758
Nd6Si4Ni7 mp-1210820
Na3Pr(PO4)2 mp-1210844
Na3PrV2O8 mp-1211038
Na3La(AsO4)2 mp-1211118
Na3Ho(PO4)2 mp-1211201
K2TiZnO4 mp-1211941
K2MgGeO4 mp-1212053
K2CdGeO4 mp-1212732
Fe2H10Cl6O5 mp-1212917
Fe(O2F)2 mp-1213097
CsTlF4 mp-1213164
Ce3(GaRh)2 mp-1213977
C4SBr4 mp-1214257
AlIO mp-1214837
Y2MgS4 mp-1232029
La2MgSe4 mp-1232039
Nd2MgSe4 mp-1232049
Eu2MgS4 mp-1232050
Mg(InSe2)2 mp-1232060
Nd2MgS4 mp-1232071
Er2MgSe4 mp-1232086
Tm2MgSe4 mp-1232089
Pr2MgS4 mp-1232093
Tb2MgS4 mp-1232102
Er2MgS4 mp-1232109
Mg(ScSe2)2 mp-1232167
Ho2MgSe4 mp-1232179
Pr2MgSe4 mp-1232188
Y2MgSe4 mp-1232204
Pm2MgSe4 mp-1232220
Gd2MgS4 mp-1232233
La2MgS4 mp-1232241
Ho2MgS4 mp-1232252
Pm2MgS4 mp-1232275
Lu2MgSe4 mp-1232283
Tb2MgSe4 mp-1232289
Eu2MgSe4 mp-1232395
Fe2Cl6O5 mp-1238907
Li2AgN mp-1246010
Ca5VN5 mp-1247440
LiSiBiO4 mp-1266684
SbN mp-1271276
Na3SrLaZnSi6O17 mp-13726
ZnAg(PO3)3 mp-14260
Rb4Ta2S11 mp-14577
Cs4Ta2S11 mp-14578
K4Nb2S11 mp-15148
LuAl mp-16507
SrSbF5 mp-16903
La2SiSeO4 mp-17834
KPSe6 mp-18625
KVO3 mp-18815
RbVO3 mp-19031
CS2NClO2 mp-23150
HgHClO4 mp-24294
RbHCO2 mp-24328
LiNi(PO3)3 mp-25927
Cd(NO3)2 mp-27198
SbBrF8 mp-27308
SeOF2 mp-27367
AgIO3 mp-27384
La2Re3B7 mp-27894
WSF4 mp-28113
Ba2As2S5 mp-28134
TaClF8 mp-28185
