BeGeN2 mp-1019550
KPSO2 mp-1019891
NaLaSiO4 mp-1020648
ZnSiN2 mp-1020712
ZnSnN2 mp-1029469
CaSnN2 mp-1029633
MgSnN2 mp-1029791
CeSe2 mp-1080272
CrN2 mp-1096913
Fe3P4O15 mp-1101558
GaCuO2 mp-1105229
GaAgO2 mp-1105293
TiZnSnO4 mp-1120798
LiGaSe2 mp-11582
LiFe2F7 mp-1176753
Li3VAs2O9 mp-1177474
TeO3 mp-1178977
SnN2Cl4O mp-1179428
P(HO)3 mp-1180004
Nb6HI11 mp-1180573
INO3 mp-1181075
BaAl2O6 mp-1182305
B24N4O mp-1182541
H17RuN6Cl3O2 mp-1182775
LiInS2 mp-1188392
Zn2NCl mp-1189171
LiH2N mp-1189646
Rb2ZnBr4 mp-1192489
BePNO4 mp-1192687
MnPCO4 mp-1193774
Rb4Al2S5 mp-1194520
AgB3O5 mp-1194753
HgAs2Xe5F22 mp-1195481
Th(SeO3)2 mp-1195570
YB3(H6N)4 mp-1196152
KTeIO9 mp-1196231
Ag2H2C2N6O13 mp-1196868
TePb3Cl4O3 mp-1196950
K3Al2(AsO4)3 mp-1197125
CdAg2GeS4 mp-1197203
Bi2W2O9 mp-1197485
KHgH2I3O mp-1197812
LiAlSiO5 mp-1198062
SrP11H28N9 mp-1198273
KTeIO9 mp-1198395
PbC2S2(N2Cl)2 mp-1198665
Li3As7(H3N)13 mp-1199218
Al2Br7N mp-1199309
RbGeB3O7 mp-1199892
KNb(BO3)2 mp-1200391
Ti2Bi2O7 mp-1200889
Li7H5N4 mp-1200910
AsClOF8 mp-1201143
K3AsS4 mp-1202105
Na2Al3Si3NO13 mp-1203545
UP2H6CO10 mp-1203553
Na4Fe3P4O15 mp-1203835
SbSe2NCl8 mp-1203978
LiBePO5 mp-1204508
Nd2H6Se7O20 mp-1204742
TlVSeO5 mp-1208048
TiAgPO5 mp-1208280
Sb3IO4 mp-1209215
Rb2UH2(SeO5)2 mp-1210345
Li7PS6 mp-1211324
ThU2S5 mp-1217436
SrNd2BeO5 mp-1218200
SrLa2BeO5 mp-1218277
SrGd2BeO5 mp-1218337
Si4Pb2O11 mp-1219427
PrTaTiO6 mp-1219788
NdU2S5 mp-1220154
Na3As4H5O14 mp-1222204
Li2MgGeO4 mp-1222820
HgH2SO5 mp-1224117
InHSeO4 mp-1224482
K2NbV(PO5)2 mp-1224543
GdSiO4 mp-1224635
CaPr2BeO5 mp-1227164
CaY2BeO5 mp-1227185
CaLa2BeO5 mp-1227216
CaEu2BeO5 mp-1227637
BeH8(NF2)2 mp-1238445
LiReN2 mp-1245540
MgTeN2 mp-1245604
ZnCrN2 mp-1245698
SiPbN2 mp-1245777
NiGeN2 mp-1245842
MgOsN2 mp-1246031
MgRuN2 mp-1246114
ZnPbN2 mp-1246264
MnVN2 mp-1246419
CdSiN2 mp-1246975
MnIrN2 mp-1247062
FeSnN2 mp-1247425
MnRhN2 mp-1247541
LiMnSiO4 mp-1249661
Li2Fe2Si2O9 mp-1262173
FePH6NO5 mp-1273649
Sr3Er2(BO3)4 mp-13960
KGeSbO5 mp-14352
KTaGeO5 mp-14377
NaSrAlF6 mp-14722
Sr2Nb2O7 mp-15590
RbScAsO4F mp-15865
Li3GaSiO5 mp-16996
Yb2Cu2O5 mp-20205
ZnSiPbO4 mp-21724
KNiPO4 mp-22655
LiPPbO4 mp-22694
LiAs(HO2)2 mp-23894
LiPH2O3 mp-23931
LiP5 mp-2412
P4Se5 mp-2447
BePH4NO4 mp-24473
BeH8(NF2)2 mp-24614
LiFePO4 mp-26041
AsF3 mp-28027
C(Se2Br)2 mp-28131
Br2O mp-28460
Li3AsS3 mp-28471
Re3Te4Cl5 mp-29114
Sr3Sb4S9 mp-29295
Cu7PSe6 mp-29823
UP2O7 mp-30330
Tm2Cu2O5 mp-3120
LiP5 mp-32760
NaGaO2 mp-3338
LiGaS2 mp-3647
LiB3O5 mp-3660
CsTa(CuTe2)2 mp-505322
