AlInSe3 mp-862787
NaAlSiO4 mp-667374
LiNiPO4 mp-765292
CdH12C4Br3N mp-567467
LiFePO4 mp-758598
BaH2N2O5 mp-541221
AlInS3 mp-504482
Os(OF2)2 mp-1173465
Os(OF2)2 mp-757594
In2Se3 mp-612740
InGaS3 mp-504951
LiCoSiO4 mp-765026
Na2Zn2P2O11 mp-1212603
LiNiPO4 mp-850006
InGaSe3 mp-504952
Al2S3 mp-2654
LiNiPO4 mp-757867
CoPO4 mp-850025
In2Se3 mp-672673
BaH2N2O5 mp-541657
LiFePO4 mp-758000
NaNiBP2O11 mp-1211194
AuF3 mp-942
NaZnBP2O9 mp-1210507
ScB(PO5)2 mp-1209202
NaFeBP2O11 mp-1211025
SiO2 mp-1257168
Li2Ca2Si2O7 mp-1020009
LiNiBP2H6O11 mp-1212004
NaZnBP2O11 mp-1211826
AgF3 mp-18536
NaMgBP2O11 mp-1213265
YSiNO2 mp-559569
CaCO3 mp-560265
SiO2 mp-554243
KScH4(C2O5)2 mp-554515
LiAlSiO4 mp-558713
LaPO4 mp-8133
CaSO4 mp-3082
YPO4 mp-1232370
TmBPt2 mp-1103146
LiAlSiO4 mp-14399
CrSi2 mp-1222
CsLi(H2N)2 mp-642740
Na2ZrCd(CO3)8 mp-1212421
LiAlSiO4 mp-1222444
LiFePO4 mp-757754
LuBPt2 mp-1095320
YBPt2 mp-5971
LaBPt2 mp-31052
CrN2 mp-1015612
BeF2 mp-558118
HfSn2 mp-1079810
NaIn(C2O5)2 mp-1210790
LiCoSiO4 mp-752623
Mg2Ni mp-2137
Si2Mo mp-8938
PrBPt2 mp-1209526
Sn2Mo mp-30047
MgBIr mp-569048
ZnTe mp-9281
CaSO4 mp-556372
SiO mp-32761
LiAlSiO4 mp-6326
LiCoSiO4 mp-753125
MgNi3B2 mp-571428
LiFePO4 mp-772146
LiAlSiO4 mp-6327
CrSi2 mp-11191
Al2W mp-12524
LiCoSiO4 mp-759364
CoHCO4 mp-1022803
Mg4Ti3 mp-1094379
BaZnCO3F2 mp-11166
TiZnSnO4 mp-1120809
NiC4NCl3 mp-1180076
Mg7Si2(H3O7)2 mp-1180494
C3N4 mp-1182484
Y3AlNiS7 mp-1190741
La3LuBeS7 mp-1190796
Gd3MnAlS7 mp-1191013
La3BeBiS7 mp-1191180
La3InFeS7 mp-1191215
La3TiAlS7 mp-1191294
Pr3AlNiS7 mp-1191447
La3BeVS7 mp-1191498
Er3GaCoS7 mp-1191530
La3BeSbS7 mp-1191568
Dy3AlCoS7 mp-1191595
La3BeGaS7 mp-1191615
Dy3BeCrS7 mp-1191669
Pr3GaFeS7 mp-1191762
Sm3BeCrS7 mp-1191796
