CrN2 mp-1016070
Cs3Y(PO4)2 mp-1019614
KBe2B3O7 mp-1019808
Mg2Si mp-1074641
Cr(ClO)2 mp-1079620
H4C7 mp-1097016
Ca2Co2O5 mp-1097787
CaSnS3 mp-1100345
Ca4Sn3S10 mp-1100349
Li2Mo(PO4)2 mp-1101539
Eu2GeS4 mp-1103850
TlSb(PSe3)2 mp-1105142
BH6N mp-1106386
Li6Mn3V(PO4)6 mp-1177014
Fe5(OF4)2 mp-1178281
ZnO2 mp-1178720
CaPNO11 mp-1182105
Pr4FeS7 mp-1191230
Nd4FeS7 mp-1191906
NaVH2I2O9 mp-1193007
KNiPO10 mp-1193290
NbPb2Se2ClO8 mp-1193560
LiSNO4 mp-1194292
C mp-1194362
BaCl2O11 mp-1194474
Rb8Cu6As8S19 mp-1194809
HgC4NCl3 mp-1196399
ZnTe(H2N)4 mp-1196495
TiP2H2O9 mp-1197096
LiAs(XeF4)3 mp-1197471
P3CN2Cl13 mp-1198055
KPO4 mp-1198751
BaV2P4O17 mp-1198793
Na2Cr2H4O9 mp-1199268
HoAgS2 mp-1199297
CaAl2(SiO6)2 mp-1199448
KPr(PO3)4 mp-1200142
VH10SeNO9 mp-1201219
NdMoI4O15 mp-1201702
Al4P5HN2O21 mp-1201890
GeBiH8C2S4N mp-1204733
YAgS2 mp-1207671
SrCa2(TeO3)3 mp-1208684
PrI3O10 mp-1209646
Na2Ca5TiSi4(O8F)2 mp-1210862
B4N2O11 mp-1215095
SrCaTi2(GeO5)2 mp-1218580
SiPN3 mp-1219220
NaCaGaSi2O7 mp-1221117
Na3Be3Pb2F13 mp-1221271
Na2PHO4 mp-1221345
Na2BrClO6 mp-1221444
Na2AsP(H4O5)2 mp-1221674
Li5Ga(GeO4)2 mp-1222561
Li2ScP2HO8 mp-1222849
KGaGeS4 mp-1223528
Fe3Mo6PdN2 mp-1224938
Fe4SiO9 mp-1225529
BaSrMgSi2O7 mp-1227482
BaSrLa4Be2O10 mp-1227956
Ba3V4(PO4)6 mp-1228744
AsSClOF8 mp-1229176
Li3B3(H8N)2 mp-1232407
H22Pt2C6SO6 mp-1237358
ZnTe2O7 mp-1239468
Ag2B8O13 mp-1247866
NaCoO2 mp-1288520
Mn2OF4 mp-1295109
Ca2Nb2O7 mp-13979
Pr2Ti2O7 mp-15201
RbMo2P3O13 mp-15405
LiCo3(OF3)2 mp-1639002
LiFePH2O5 mp-1651584
LiCrPO4 mp-1666120
CsPr(PO3)4 mp-17770
RbZnPO4 mp-18463
Bi4Br2O5 mp-23544
Li2H2SeO5 mp-24165
LiTiPCO7 mp-25418
LiV(PO3)4 mp-26719
CrP2O7 mp-26974
Sr2P6O17 mp-27583
V2Zn4O9 mp-28331
Al7(TlS4)3 mp-28759
K2U2O7 mp-29361
Li3Co3(PO4)4 mp-31614
Mg(IO3)2 mp-38322
Ca4P2O9 mp-5263
Li2Mo(PO4)2 mp-540296
Hg3Se3O10 mp-542115
UPt mp-542817
K2Na4Ge2O7 mp-554107
TiPHO5 mp-554704
BaAlF5 mp-555846
Rb4CO4 mp-556527
SrCu2Te2(ClO3)2 mp-556868
Li2Mo4O13 mp-557525
TeOF2 mp-558387
GePb3O5 mp-559144
La2Ti2O7 mp-559768
KEu(PO3)4 mp-560292
LaP5Cl18O17 mp-565354
Al2P3H11O13 mp-605108
NaBrO3 mp-608595
P(HO)3 mp-625249
H6N4O9 mp-625347
H7NO6 mp-625850
H5IO6 mp-625890
H7NO6 mp-626127
SrH4O3 mp-626727
Mo2H2O7 mp-626813
ReTe3Br5 mp-669328
LiBi(PO3)4 mp-673098
Rb2Cd2(SO4)3 mp-680460
RbCS(OF)3 mp-6858
Ca10P6SO24 mp-686464
Ag2H2IOF mp-690687
K6Sb2H18S8O9 mp-695307
Li2Fe(PO4)2 mp-697816
Fe2P3C8N3(ClO2)4 mp-705041
Na6HfH8S5O24 mp-720802
Li2CuPO4 mp-753179
LiCo(CO3)2 mp-753259
Li2FeSi3O8 mp-753540
Li2Si2NiO6 mp-753874
LiMn2O3F mp-753908
LiMnCSO7 mp-754499
SrTaNO2 mp-755488
Na3GePCO7 mp-756494
NaPH4SO8 mp-757203
LiCrPO4 mp-757346
LiV(PO3)4 mp-757353
Li3V3(PO4)4 mp-757811
LiCo2(PO4)3 mp-758309
LiBi(PO3)4 mp-759141
Li4Fe7O12 mp-759241
Sb4O5F2 mp-759602
Li2Sn(BO3)2 mp-759667
Li2Bi2P2O9 mp-759784
Li2FeSiO4 mp-759942
NaLi2NiPCO7 mp-760210
BaCO3 mp-762225
Li2FeSiO4 mp-764344
Li4MnV3(P2O7)4 mp-766112
NaCePCO7 mp-767538
NaTiPCO7 mp-767556
LiCrAsCO7 mp-768612
Na2VPCO7 mp-769565
Ho2Zr2O7 mp-770289
LiVSiCO7 mp-770650
Li2VPCO7 mp-770949
Y2Zr2O7 mp-771043
Na3CaPCO7 mp-771324
Na3CrPCO7 mp-771329
BaNa3PCO7 mp-771331
Li3NiPCO7 mp-771345
La2Pt2O7 mp-771647
BaLaI5 mp-772114
Na5LiMn2P2(CO7)2 mp-772235
Na5LiMn2P2(CO7)2 mp-772308
NaLi5Mn2P2(CO7)2 mp-772418
NaLi5Mn2P2(CO7)2 mp-772615
Li3MgPCO7 mp-772750
La2Hf2O7 mp-772850
Li3Ti6Co3O16 mp-772982
LaTiNO2 mp-775918
LiFe4OF7 mp-776991
Li6MnV3(PO4)6 mp-777582
Ba2Y5F19 mp-778072
Li5Mn2(PO4)3 mp-778881
LiCrPO5 mp-779432
Li2MnP2HO8 mp-779443
Tb2Ti2O7 mp-779763
Li3MnSi2O7 mp-780126
Co3OF5 mp-780865
Ba2YI7 mp-849802
V3O5F mp-850973
KLaSiSe4 mp-861606
LiNbP2O7 mp-863403
Li2Fe3SnO8 mp-863443
CaSnS3 mp-866504
NaAg(CO2)2 mp-985593
KBaSiHO4 mp-995194
CsBaSiHO4 mp-995225
BiN mvc-13729
CaVBiO6 mvc-14106
ZnW2O7 mvc-7381
ZnCr2O7 mvc-7383
Mg2Si mp-1074751
MnHO2 mp-1080223
As2O3 mp-1105118
YTl(PSe3)2 mp-1105136
TlSb(PS3)2 mp-1105300
Li2FeSiO4 mp-1177998
Zr(PO5)2 mp-1178611
Zr(AsO5)2 mp-1178615
WO5 mp-1178865
Rb3Bi2S2(ClO2)5 mp-1179804
H6N4O9 mp-1181093
H6N4O9 mp-1181419
HgC4NCl3 mp-1181595
CaAl2(SiO6)2 mp-1182213
Ba2ZnO6 mp-1182550
B4N2O11 mp-1182599
Na2GeO9 mp-1191980
Hf(PO5)2 mp-1193511
Hg3Te2SeO10 mp-1194584
V6H2Pb4Se3O26 mp-1195119
HgC4NCl3 mp-1196217
SrB8O15 mp-1196359
V6H2Pb4Se3O26 mp-1196385
Ca3SiS2O25 mp-1196842
B6Pb3O11F2 mp-1197284
Yb4Cl2O13 mp-1197744
H2 mp-1197798
Zn4As3C3N3O13 mp-1198250
OsSeS3Cl4 mp-1198672
Ba2B6H4O13 mp-1199077
NaY(C2O5)2 mp-1199404
KPrGeSe4 mp-12012
BaU2P2O19 mp-1201878
LaVH2I4O15 mp-1201992
CaAl2(Si3O10)2 mp-1202111
CaAl2(Si2O7)3 mp-1203968
SnH10C3Br3N mp-1204363
Ru(NO2)6 mp-1204637
K2SbF5 mp-1205479
PrZrF7 mp-1209283
KUSiHO6 mp-1211875
Rb2SbN2(O2F)3 mp-1220150
Rb2MnP2H3(O4F)2 mp-1220230
Na2Nd4NCl9O mp-1221346
Mn5Cu(PO4)4 mp-1222156
Li2InP2HO8 mp-1222810
Li4SiO4 mp-1223129
KAlCl2O mp-1223704
Fe2Ni(PO4)2 mp-1224743
Fe3Mo6PtN2 mp-1224884
FeMo6Pd3N2 mp-1225057
KNaCa2(SiO3)8 mp-1226150
CaYAl3O7 mp-1227119
CaLaGa3S6O mp-1227181
Ca2Ga2GeO7 mp-1227514
Ca3Ti(FeO4)2 mp-1227734
La2TeMo6O35 mp-1227821
Cr2H28C10N6O7 mp-1227848
Ca3Cu2Ni(PO4)4 mp-1227859
Ba7Sr5(MoN4)4 mp-1228681
Ba5Na2Ru3O14 mp-1229142
NdMnFeBiO6 mp-1237102
H5C2S2N3 mp-1237314
AsCS2NOF8 mp-1247925
Mn3ReO6 mp-1289657
TlZnPO4 mp-18168
NaNdMnWO6 mp-20156
BeAlH5 mp-23719
LiFePCO7 mp-25406
LiPWCO7 mp-25414
LiCo(PO3)4 mp-26861
Rb5Zr4F21 mp-27316
Co(SiP)3 mp-29187
Na5AuSe12 mp-29198
Bi4I2O5 mp-30130
Ag2S mp-31053
Li3V3(PO4)4 mp-32528
K4Gd2C3O9F4 mp-42089
LiSb(PO3)4 mp-504340
Si2Ag6O7 mp-541728
Cd3Se3O10 mp-542117
Bi2B8O15 mp-542931
Sb4IrC5ClO5F22 mp-555612
SiO2 mp-555891
BaNa2(SiO3)2 mp-556806
CaSi2(NO)2 mp-556884
CaAs2(XeF5)4 mp-557180
Na5B2P3O13 mp-557836
TlVH6SO9 mp-558147
Zn2Si3Pb4SO15 mp-559184
CuP4I mp-567472
H3AuC2NCl mp-569084
As2Pb2S5 mp-608653
KTeOF3 mp-612946
Re2H4O9 mp-625238
H6N4O9 mp-625365
H7NO6 mp-625868
H7NO6 mp-625937
H6N4O9 mp-626354
H7NO6 mp-626529
H3NO mp-626534
RbHO mp-626721
Eu2GeSe4 mp-629088
Os7C19SO19 mp-648805
K2SbF5 mp-649747
Ge2RuC4(Cl3O2)2 mp-652274
LiNb(PO4)2 mp-673070
KNbCl6 mp-675801
Be(GaO2)2 mp-676950
P6(Pb2O5)5 mp-677454
Ca5Si2HO9F mp-695314
Li2Mo(PO4)2 mp-704197
K8V2(S2O9)3 mp-704408
Nb10Pb14O39 mp-707290
Li2H2SeO5 mp-753960
KPWCO7 mp-755603
KCePCO7 mp-756880
Li3CrPCO7 mp-757179
P4WO12 mp-757191
Li4Fe5(NiO6)2 mp-758177
Ca2P6O17 mp-758337
Li4Mn2Ni5O12 mp-758487
Li2Mg3Ti6O16 mp-758770
H21C6N2Cl3 mp-759161
LiSb(PO3)4 mp-759485
Li3Sb3(PO4)4 mp-759918
Na2B8O13 mp-764966
La2Ti2CrO9 mp-766382
Li2FeSi3O8 mp-767149
Li5SbS mp-767407
Li3VF6 mp-767631
LiSnPCO7 mp-768159
Li2BiPCO7 mp-768216
KFePCO7 mp-769579
Nb2Ge2O7 mp-771194
Na3MgPCO7 mp-771336
Li3CrPCO7 mp-771346
Ti2Sb2O7 mp-771652
Li6Ti2O7 mp-772190
NaSiSbCO7 mp-772595
Li2Mg3Ti6O16 mp-772783
KSiPCO7 mp-772843
KTiPCO7 mp-772844
NaCrAsCO7 mp-773138
Li2MnV(P2O7)2 mp-774309
Fe5(OF4)2 mp-777737
Li6MnV3(PO4)6 mp-777835
Li2FeP2O7 mp-779056
Fe3(OF2)2 mp-779412
Li4MnV3(P2O7)4 mp-780005
Sc2Ti2O7 mp-780402
Li5Co2(PO4)3 mp-780435
LiInP2O7 mp-8491
Li4Cu2Ni5O12 mp-849405
LiMnSiO4 mp-850949
KLaSiS4 mp-861938
LiCo2(PO4)3 mp-863391
KYGeS4 mp-867334
Li2Ni3(P2O7)2 mp-867668
SiO2 mp-972808
KCaSiHO4 mp-995190
RbSrSiHO4 mp-995216
Ca(CuO2)2 mvc-11797
CaV2O4 mvc-12053
Ca3Mn2O7 mvc-14253
Y4(Cu2O5)3 mvc-15116
MgV2O6 mvc-2157
Mg(SbO2)2 mvc-7254
Rb2GeB4O9 mp-1020707
LiScP2O7 mp-10517
MgSi mp-1073722
Mg2Si mp-1074720
CeSe2 mp-1080338
SiGe mp-1096549
Li3Eu2(BO3)3 mp-1098016
LiV(PO3)4 mp-1101503
LiCo(PO3)4 mp-1101545
HS2N(O2F)2 mp-1105944
Li6Mn3V(PO4)6 mp-1177007
Li5FeO4F mp-1177116
Li3MnV(PO4)3 mp-1177542
Li3MnV(PO4)3 mp-1177546
Li2Fe5Si5O16 mp-1177963
H6N4O9 mp-1181373
Li2SO5 mp-1188639
TeH2NF5 mp-1189372
Zn2TeMoO7 mp-1192126
K2CaS2O9 mp-1192546
Cu2Te2Pb(ClO3)2 mp-1192807
BaDyFe4O7 mp-1192895
SrCu2Se2(ClO3)2 mp-1193551
ZnAsNO4 mp-1193565
BH6N mp-1198500
Cs4PbO3 mp-1199752
KVH6SeO9 mp-1201848
Sr3B6O11F2 mp-1202821
BH17C6NCl mp-1204476
TlMo2P3O13 mp-1208397
RbVSeO5 mp-1209169
Na2OsO8 mp-1210840
CaAl2Si2(WO2)4 mp-1215045
Zn2SiGeN4 mp-1215642
Yb4Cl2O13 mp-1216429
SrCaMgSi2O7 mp-1218410
SrCaDy4Be2O10 mp-1218527
Ru2SeS3 mp-1219515
Sb2C6(Br3N)3 mp-1220257
Nd2P2H8S4O15 mp-1221087
Na2OsO7 mp-1221558
Na2Ca17Al12O36 mp-1222730
K3Sn2S3ClO3 mp-1224128
K2Nb2As2O11 mp-1224597
CrFeSi2 mp-1226256
CrFeGe2 mp-1226385
Cs3Re6(SCl)7 mp-1227999
Al2Zn2S5 mp-1228522
AlC4NCl2 mp-1229258
Rb2Cd2(SO4)3 mp-1238726
Ca5Si2HO9F mp-1251187
FePH6NO5 mp-1296207
Ag6Ge2O7 mp-15487
LiFePH2O5 mp-1638522
Li2Fe(CoO3)2 mp-1643412
KY(PO3)4 mp-18661
KEuGeS4 mp-21903
Hg(IO3)2 mp-23407
SrH2N2O5 mp-24456
Fe3(PO4)4 mp-25814
Li3Co(PO4)2 mp-25996
NiP2O7 mp-26008
LiBi2(PO4)3 mp-26285
Mo3(PO4)4 mp-26638
LiMnP2O7 mp-26981
C2S9N2 mp-30063
La6Mo8O33 mp-31128
Fe3(PO4)4 mp-31896
K3Sn2S3ClO12 mp-42091
LiCo(PO3)4 mp-540064
Ba2Si3O8 mp-553897
Pr2SbO5F mp-554138
RbVH6SO9 mp-554329
La3Si2Cl3O7 mp-555191
LiMoAsO6 mp-555962
GaH20C2S2NO14 mp-556589
TlBi(PS3)2 mp-556592
H2O mp-557082
KLiSi2O5 mp-558102
LiMoIO6 mp-558917
Ag2S mp-560025
KAlSiO4 mp-560173
Cs2HgI4 mp-567594
CdHg4(AsI2)2 mp-570838
Re2H4O9 mp-625142
H5IO6 mp-625274
MoH4O5 mp-625744
H7NO6 mp-625948
H6N4O9 mp-626392
NaCaSiHO4 mp-634418
YbIn4Ni mp-672394
LiSb(PO3)4 mp-673126
Ag3SI mp-675879
RbPHO3F mp-677138
K2NaNb(OF2)2 mp-684816
BeF2 mp-685168
Li2Fe(PO4)2 mp-689973
V2Bi4O11 mp-690568
Cs4MgZr3(PO4)6 mp-690929
ZnGaP2H4NO8 mp-693132
NaNd3Ti3MnO12 mp-694881
BaSn2(HO2)2 mp-696946
LiMo2PO8 mp-704183
Fe2(MoO4)3 mp-704851
Al2Si3H8(NO5)2 mp-706243
Rb4LiH3(SO4)4 mp-709885
Ga2P3H11O13 mp-721075
LiV(CO3)2 mp-753587
Ni(IO3)2 mp-755246
MnOF mp-755257
LiFe2P2HO8 mp-756333
Li3NiPCO7 mp-756659
Na3NiPCO7 mp-757110
V2Bi4O11 mp-757152
Li6VO4F mp-757210
LiCrPO4 mp-757381
LiP(WO4)2 mp-757610
LiV(PO3)4 mp-757805
LiNiPO4 mp-757944
Li4Ti2Fe5O12 mp-758960
Li3Sb3(PO4)4 mp-759028
LiVF4 mp-759459
Hg(ClO3)2 mp-761037
Li2MnV(P2O7)2 mp-761240
Bi4O5F2 mp-761704
LiNiPO4 mp-763217
LiV(CO3)2 mp-763567
LiV(CO3)2 mp-765385
Li5SbS mp-767471
NaSnPCO7 mp-768127
LiSiPCO7 mp-768161
LiCePCO7 mp-768198
Li2SbPCO7 mp-768207
Ba2YF7 mp-768350
La2Ce2O7 mp-768522
LiCuCSO7 mp-768599
Ho2Ti2O7 mp-768695
Ba2Y5Cl19 mp-768958
Ba2YCl7 mp-768983
NaFePCO7 mp-769633
Zr2Bi2O7 mp-769650
BaLaCl5 mp-770427
LaMgI5 mp-770579
Tm2Ti2O7 mp-771323
Li3BePCO7 mp-771341
Sr2YI7 mp-771830
LiSiSbCO7 mp-771979
NaVSiCO7 mp-772044
NaCuCSO7 mp-772118
Li3Co3(Ge3O8)2 mp-772493
Ba2P6O17 mp-772748
KSnPCO7 mp-772809
Li2MnV(P2O7)2 mp-774358
Li4MnV3(P2O7)4 mp-774458
K2O mp-776081
Li2TiFe3O8 mp-776147
LaTa2NO5 mp-776407
Li2MnV(P2O7)2 mp-777803
Li2MnV(P2O7)2 mp-778200
Li2MnV(P2O7)2 mp-779885
VOF3 mp-781081
