BaAg(PO3)3 mp-10070
Re2O7 mp-1016092
Ca2B2O5 mp-1019560
Na2Ge(S2O7)3 mp-1020145
Na2Si(S2O7)3 mp-1020159
RbAs mp-10802
LuCuS2 mp-1105845
LiH2N mp-1106045
K6Sn2S7 mp-1120789
LiNi(PO3)3 mp-1176610
Li2Ni3WO8 mp-1177957
SeO4 mp-1179144
Sb2C4O mp-1179638
RbZn2P3O14 mp-1179765
PNO3 mp-1179819
NaH2SNO3 mp-1180298
LaMg2H7Pd mp-1180682
LiVTeO5 mp-1181006
H2 mp-1181188
H4SO5 mp-1181245
Cd(ClO2)2 mp-1182262
Mo2C8Br8N2O3 mp-1182454
BaTe2Mo2(HO6)2 mp-1182595
C mp-1182684
CaAl2(SiO5)2 mp-1182812
KCaCoC6(S3O5)2 mp-1182830
LuAgSe2 mp-1189356
CO2 mp-1190685
CuS4N mp-1190776
PNO4 mp-1190793
CuNiSbS3 mp-1191203
GdCO4 mp-1191361
BaGePbO4 mp-1192417
Ba(CO2)2 mp-1192927
Sr(CO2)2 mp-1193254
CuPO5 mp-1193274
CsH3CN2O mp-1194650
Cs2ZnSn3Se8 mp-1194701
Cs2ZnGe3Se8 mp-1194749
RbV2PO11 mp-1195080
Ba6Sn6Se13 mp-1196224
CsH2F3 mp-1196282
MgB4(H10N)2 mp-1196592
C(NO)2 mp-1197051
K2TiSi3O10 mp-1197256
Na2Hf(SO5)3 mp-1197481
Cu2I4N2O mp-1197496
CaCuAsO5 mp-1197546
YSe2NO11 mp-1197693
PH7(NO2)2 mp-1198464
Rb4HfS4O17 mp-1198468
Cs2B12OF12 mp-1199225
Rb2ZrSi3O10 mp-1199444
MoN2O3F2 mp-1199664
CoN7O8 mp-1199756
H9C3SeN3 mp-1200281
Hg(BrO4)2 mp-1200436
Se2N2O5 mp-1201386
K2RuO5 mp-1201514
Na2MoH2O3F4 mp-1201525
K2Mg2(MoO4)3 mp-1202098
KB(CF3)4 mp-1202400
H3Se2NO6 mp-1202649
Zn9(InSb3)2 mp-1202823
Zn2H18Cl4O9 mp-1202834
Sb2O3 mp-1202960
HgC8(I2N)2 mp-1204359
K2I3NO12 mp-1204607
CdSi3PH27C9I2 mp-1205257
Tl3SnI5 mp-1208219
Rb2TiSi3O10 mp-1209611
Sb2Te3(SeF4)3 mp-1209641
RbTaGeO5 mp-1209926
NaSrGaF6 mp-1210031
NaSrVF6 mp-1210039
NaP3PbO9 mp-1210272
NaNp(HO2)2 mp-1210355
MgSO11 mp-1212723
H8RuN3Cl5O mp-1212914
BeO2 mp-1214161
C2S2NCl3 mp-1214223
BaTl(PO3)3 mp-1214441
CaAl2Si2(WO4)2 mp-1215070
AgBHC12(NF2)9 mp-1215142
Na2PO3F mp-12159
SrPrInO4 mp-1218169
NdThUS5 mp-1220185
Pb3(SO6)2 mp-1220658
Rb2Sn4S9 mp-1220891
NaMoAsO6 mp-1221015
CsSi2HO5 mp-1226125
Cd5Si(PO6)2 mp-1227191
Cd5Ge(PO6)2 mp-1227196
Ce(YSi)4 mp-1227796
AsXeO2F7 mp-1228850
CsCN mp-1245792
